titulo,fonte,quantidade_aparicoes,data,link
Atlético-MG anuncia a implementação de biometria facial para compra de ingressos,MKT Esportivo,2,18 de out. de 2024,https://www.mktesportivo.com/2024/10/atletico-mg-anuncia-implementacao-de-biometria-facial-para-a-compra-de-ingressos/
Polícia Civil apresenta sistema de reconhecimento facial de condutores,Agência Minas Gerais,2,7 de nov. de 2019,https://agenciaminas.mg.gov.br/noticia/policia-civil-apresenta-sistema-de-reconhecimento-facial-de-condutores
Biometria facial bovina: como uma startup quer turbinar a pecuária brasileira (e aposentar de vez os brincos de identificação),Projeto Draft,2,24 de set. de 2024,https://www.projetodraft.com/biometria-facial-bovina-uma-startup-quer-turbinar-a-pecuaria-brasileira-e-aposentar-de-vez-os-brincos-de-identificacao/
GCM faz primeira prisão utilizando câmeras inteligentes em Rio Preto,Diário da Região,2,18 de set. de 2025,https://www.diariodaregiao.com.br/artigo/gcm-faz-primeira-prisao-utilizando-cameras-inteligentes-em-rio-preto.1758232425682
TJ mantém proibição de câmeras de reconhecimento facial no Metrô de SP,VEJA SÃO PAULO,2,18 de abr. de 2022,https://vejasp.abril.com.br/cidades/reconhecimento-facial-metro-sp/
Câmeras de reconhecimento facial se multiplicam em São Paulo,VEJA SÃO PAULO,2,9 de dez. de 2022,https://vejasp.abril.com.br/cidades/cameras-reconhecimento-facial-sp/
Quase metade dos brasileiros é vigiada por reconhecimento facial,Portal iG,2,10 de mai. de 2025,https://ultimosegundo.ig.com.br/brasil/2025-05-10/quase-metade-dos-brasileiros-e-vigiada-por-reconhecimento-facial.html
Inteligência artificial do Facebook rotulou homem negro como primata,Folha de S.Paulo,2,4 de set. de 2021,https://www1.folha.uol.com.br/mercado/2021/09/inteligencia-artificial-do-facebook-rotulou-homem-negro-como-primata.shtml
Idec notifica operadora de saúde Hapvida por uso de biometria facial - IT Forum,IT Forum,2,23 de jan. de 2023,https://itforum.com.br/noticias/idec-notifica-operadora-de-saude-hapvida-por-uso-de-biometria-facial/
O racismo no ambiente digital,Jornal de Brasília,2,19 de nov. de 2025,https://jornaldebrasilia.com.br/noticias/brasil/o-racismo-no-ambiente-digital/
"Cambistas se adaptam, encontram brechas e burlam reconhecimento facial nos estádios",Estadão,2,23 de out. de 2025,https://www.estadao.com.br/esportes/futebol/cambistas-se-adaptam-encontram-brechas-e-burlam-reconhecimento-facial-nos-estadios/
Dono de empresa cotada para biometria facial da Arena agencia atleta da base do Corinthians,Gazeta Esportiva,2,25 de mar. de 2025,https://www.gazetaesportiva.com/times/corinthians/dono-de-empresa-cotada-para-biometria-facial-da-arena-agencia-atleta-da-base-do-corinthians/
Falha em reconhecimento fotográfico resulta em absolvição de suspeito de roubo,Consultor Jurídico,2,24 de fev. de 2021,https://www.conjur.com.br/2021-fev-24/falha-reconhecimento-fotografico-resulta-absolvicao/
Erro em reconhecimento fotográfico de acusados gera danos morais,Valor Econômico,2,8 de jan. de 2024,https://valor.globo.com/legislacao/noticia/2024/01/08/erro-em-reconhecimento-fotografico-de-acusados-gera-danos-morais.ghtml
Édito de Valério e o reconhecimento fotográfico: que se condene o mais feio,Consultor Jurídico,2,21 de jun. de 2024,https://www.conjur.com.br/2024-jun-21/edito-de-valerio-e-o-reconhecimento-fotografico-que-se-condene-o-mais-feio/
Foragido é preso após ser reconhecido por drone em aniversário de cidade em SC,ND Mais,2,21 de jul. de 2025,https://ndmais.com.br/seguranca/foragido-e-preso-apos-ser-reconhecido-por-drone-em-aniversario-de-cidade-em-sc/
Foto de Michael B. Jordan está na lista de procurados pela polícia do Ceará,IGN Brasil,2,7 de jan. de 2022,https://br.ign.com/michael-b-jordan/95737/news/foto-de-michael-b-jordan-esta-na-lista-de-procurados-pela-policia-do-ceara
Justiça suspende o sistema de reconhecimento facial no Metrô de São Paulo,TudoCelular.com,2,23 de mar. de 2022,https://www.tudocelular.com/tech/noticias/n186931/acao-justica-fim-reconhecimento-facial-metro-sp.html
Reconhecimento Facial chega à marca de quatro mil foragidos da Justiça localizados com auxílio da ferramenta,ba.gov.br,2,14 de out. de 2025,http://www.ba.gov.br/comunicacao/noticias/2025-10/374562/sistema-de-reconhecimento-facial-da-ssp-chega-marca-de-quatro-mil-foragidos
Aeroporto de Brasília passa a adotar reconhecimento facial de viajantes,G1,2,1 de ago. de 2016,https://g1.globo.com/distrito-federal/noticia/2016/08/aeroporto-de-brasilia-passa-adotar-reconhecimento-facial-de-viajantes.html
Arena Fonte Nova inicia cadastro para biometria facial em jogos e shows; saiba como fazer,Bnews,2,30 de out. de 2024,https://www.bnews.com.br/noticias/esporte/arena-fonte-nova-inicia-cadastro-para-biometria-facial-em-jogos-e-shows-saiba-como-fazer.html
Reconhecimento facial gera preocupação no Brasil,Olhar Digital,2,4 de jun. de 2019,https://olhardigital.com.br/2019/06/04/videos/reconhecimento-facial-gera-preocupacao-no-brasil/
Ressacada passa a utilizar biometria facial em todos os portões de acesso,Avaí F.C.,2,18 de jul. de 2024,https://avai.com.br/ressacada-passa-a-utilizar-biometria-facial-em-todos-os-portoes-de-acesso/
Câmeras de vigilância com reconhecimento facial nas ruas dos EUA,MaisTecnologia,2,25 de mai. de 2018,https://www.maistecnologia.com/cameras-de-vigilancia-com-reconhecimento-facial-nas-ruas-dos-eua/
Reconhecimento facial para a captura de foragidos da polícia deve ser implantado em PE,PORTAL CBN RECIFE,2,25 de jan. de 2020,https://www.cbnrecife.com/artigo/reconhecimento-facial-para-a-captura-de-foragidos-da-policia-deve-ser-implantado-em-pe
Arena Fonte Nova investe em sistema de biometria facial,Anota Bahia,2,23 de out. de 2024,https://anotabahia.com/arena-fonte-nova-investe-em-sistema-de-biometria-facial/
Golpe da selfie: saiba o que é e como proteger seu dinheiro,Estadão E-Investidor,2,17 de fev. de 2025,https://einvestidor.estadao.com.br/radar-einvestidor/golpe-da-selfie-o-que-e-como-se-proteger/
Lima e Landanji: Tecnologia para reconhecimento facial,Consultor Jurídico,2,9 de nov. de 2022,https://www.conjur.com.br/2022-nov-09/limae-landanji-tecnologia-reconhecimento-facial/
Reconhecimento Facial da SSP identifica dois foragidos no interior e auxilia mais de 1.230 prisões em 2025,Bahia Notícias,2,18 de jul. de 2025,https://www.bahianoticias.com.br/noticia/306648-reconhecimento-facial-da-ssp-identifica-dois-foragidos-no-interior-e-auxilia-mais-de-1230-prisoes-em-2025
"Após foragido ser capturado pelo reconhecimento facial, delegado comenta prisão",Acorda Cidade,2,23 de jun. de 2024,https://www.acordacidade.com.br/policia/apos-foragido-ser-capturado-pelo-reconhecimento-facial-delegado-comenta-prisao/
5 coisas que ainda não te contaram sobre biometria facial,Crypto ID,2,1 de ago. de 2022,https://cryptoid.com.br/criptografia-identificacao-digital-id-biometria/5-coisas-que-ainda-nao-te-contaram-sobre-biometria-facial/
Discriminação algorítmica: por que algoritmos preocupam quando acertam e erram?,JOTA Info,2,4 de ago. de 2021,https://www.jota.info/opiniao-e-analise/colunas/constituicao-empresa-e-mercado/discriminacao-algoritmica-por-que-algoritmos-preocupam-quando-acertam-e-erram
Hering terá que explicar o que faz com dados de reconhecimento facial de clientes,O Globo,2,27 de fev. de 2019,https://oglobo.globo.com/economia/defesa-do-consumidor/hering-tera-que-explicar-que-faz-com-dados-de-reconhecimento-facial-de-clientes-23482114
Por que o Facebook está avisando sobre reconhecimento facial,Tecnoblog,2,28 de fev. de 2018,https://tecnoblog.net/noticias/facebook-aviso-reconhecimento-facial/
Twitter privilegia exibição de pessoas brancas e evidencia racismo em algoritmos,BHAZ,2,21 de set. de 2020,https://bhaz.com.br/noticias/variedades/twitter-privilegia-exibicao-de-pessoas-brancas-e-evidencia-racismo/
Agencia de Comunicacão - Estudo comprova o impacto positivo da biometria facial,Estadão Blue Studio,2,29 de nov. de 2023,https://bluestudio.estadao.com.br/agencia-de-comunicacao/agencia-unico/estudo-comprova-o-impacto-positivo-da-biometria-facial/
Saiba como evitar o reconhecimento facial no Facebook,Diário Gaúcho,2,12 de mar. de 2018,https://diariogaucho.clicrbs.com.br/dia-a-dia/noticia/2018/03/saiba-como-evitar-o-reconhecimento-facial-no-facebook-10187879.html
"Depois do Carnaval, reconhecimento facial será usado na Micareta de Feira",Jornal Correio,2,6 de mar. de 2019,https://www.correio24horas.com.br/salvador/depois-do-carnaval-reconhecimento-facial-sera-usado-na-micareta-de-feira-0319
RJ registra 300 prisões com sistema de reconhecimento facial,Agência Brasil,2,16 de ago. de 2024,https://agenciabrasil.ebc.com.br/radioagencia-nacional/direitos-humanos/audio/2024-08/rj-registra-300-prisoes-com-sistema-de-reconhecimento-facial
Reconhecimento facial,DW,2,11 de jun. de 2011,https://www.dw.com/pt-br/facebook-desperta-cr%C3%ADticas-com-ferramenta-de-reconhecimento-facial/a-15148111
Sistemas de reconhecimento facial podem ser ‘enganados’ com máscaras impresssas,Expresso,2,12 de dez. de 2019,https://expresso.pt/internacional/2019-12-12-Sistemas-de-reconhecimento-facial-podem-ser-enganados-com-mascaras-impresssas
Foragido é preso após reconhecimento facial em rodoviária do RJ,Metrópoles,2,21 de out. de 2025,https://www.metropoles.com/brasil/foragido-e-preso-apos-reconhecimento-facial-em-rodoviaria-do-rj
Homem é preso na feira após ser identificado por tecnologia de reconhecimento facial,Mais Região,2,22 de nov. de 2025,https://www.maisregiao.com.br/noticia/86861/homem-e-preso-na-feira-de-camacari-apos-ser-identificado-por-tecnologia-de-reconhecimento-facial
SP lança edital para sistema de câmeras que identifica cor e 'vadiagem' [28/11/2022],UOL Notícias,2,28 de nov. de 2022,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2022/11/28/sp-lanca-edital-para-sistema-de-cameras-que-identifica-cor-e-vadiagem.htm
"Reprodução de vieses discriminatórios é principal problema da IA, diz professora",Consultor Jurídico,2,15 de ago. de 2023,https://www.conjur.com.br/2023-ago-15/reproducao-vieses-principal-problema-ia-professora/
Município estende Rio+Seguro à Zona Oeste com câmeras de reconhecimento facial,Prefeitura da Cidade do Rio de Janeiro,2,22 de jan. de 2020,https://prefeitura.rio/cidade/municipio-estende-rioseguro-a-zona-oeste-com-cameras-de-reconhecimento-facial/
Reconhecimento Facial bate recorde de localizados no Carnaval,A TARDE,2,19 de fev. de 2023,https://atarde.com.br/carnaval/carnaval-2023/reconhecimento-facial-bate-recorde-de-localizados-no-carnaval-1220087
Jamil Chade: Entidades brasileiras pedirão na ONU fim do uso de IA na segurança pública,UOL Notícias,2,18 de jun. de 2025,https://noticias.uol.com.br/colunas/jamil-chade/2025/06/18/entidades-brasileiras-pedirao-na-onu-fim-do-uso-de-ia-na-seguranca-publica.htm
Golpes com reconhecimento facial: como acontecem e como se proteger,InfoMoney,2,16 de ago. de 2025,https://www.infomoney.com.br/consumo/golpes-com-reconhecimento-facial/
Microsoft pede regulamentação federal para reconhecimento facial,CNN Brasil,2,21 de jun. de 2020,https://www.cnnbrasil.com.br/tecnologia/microsoft-pede-regulamentacao-federal-para-reconhecimento-facial/
Governo quer reconhecimento facial em todos aeroportos do país,Agência Brasil,2,10 de out. de 2020,https://agenciabrasil.ebc.com.br/geral/noticia/2020-10/governo-quer-reconhecimento-facial-em-todos-aeroportos-do-pais
Reconhecimento facial como forma mais prática e segura para processos de autenticação,Expresso,2,27 de set. de 2023,https://expresso.pt/iniciativaseprodutos/projetos-expresso/2023-09-27-Reconhecimento-facial-como-forma-mais-pratica-e-segura-para-processos-de-autenticacao-fde025de
Quase 300 foragidos da Justiça já foram presos após o reconhecimento facial em estádios,Revista Segurança Eletrônica,2,15 de set. de 2025,https://revistasegurancaeletronica.com.br/quase-300-foragidos-da-justica-ja-foram-presos-apos-o-reconhecimento-facial-em-estadios/
Foragido da Justiça por homicídio é preso em Maricá após ser identificado por câmeras com reconhecimento facial,Maricá Info,2,19 de jul. de 2025,https://maricainfo.com/2025/07/19/da-justica-por-e-em-marica-apos-ser-identificado-por-cameras-com-reconhecimento-facial.html
IA e reconhecimento facial podem detectar AVC; entenda,Terra,2,10 de mai. de 2023,"https://www.terra.com.br/vida-e-estilo/saude/doencas-e-tratamentos/ia-e-reconhecimento-facial-podem-detectar-avc-entenda,c3e4153149f7b223de74e5158ce4bb1atmlpech5.html"
Facebook testa reconhecimento facial para comprovar se utilizadores são reais,Observador,2,29 de nov. de 2019,https://observador.pt/2019/11/29/facebook-testa-reconhecimento-facial-para-comprovar-se-utilizadores-sao-reais/
Como os países usam o reconhecimento facial,Público,2,26 de jan. de 2020,https://www.publico.pt/2020/01/26/tecnologia/noticia/paises-usam-reconhecimento-facial-1901650
Reconhecimento facial: prefeitura de SP retoma programa e dobra câmeras com biometria,R7,2,8 de mai. de 2023,https://noticias.r7.com/sao-paulo/reconhecimento-facial-prefeitura-de-sp-retoma-programa-e-dobra-cameras-com-biometria-08052023/
Ator negro fala sobre período preso injustamente,Jornal GGN,2,27 de fev. de 2014,https://jornalggn.com.br/cidadania/ator-fala-sobre-periodo-preso-injustamente-existem-muitos/
Foragido da justiça é preso em Volta Redonda com tecnologia de reconhecimento facial,G1,2,4 de jan. de 2025,https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2025/01/04/foragido-da-justica-e-preso-em-volta-redonda-com-tecnologia-de-reconhecimento-facial.ghtml
Pesquisadores usam fotos do Facebook para burlar sistema de reconhecimento facial,TudoCelular.com,2,22 de ago. de 2016,https://www.tudocelular.com/tech/noticias/n77050/fotos-Facebook-burlar-reconhecimento-facial.html
Reconhecimento facial e LGPD: uma polêmica para o século 21,Nexo Jornal,2,8 de fev. de 2020,https://www.nexojornal.com.br/reconhecimento-facial-e-lgpd-uma-polemica-para-o-seculo-21
"Reconhecimento facial de passageiros no metrô de São Paulo é ilegal, decide Justiça",Gazeta do Povo,2,13 de mai. de 2021,https://www.gazetadopovo.com.br/vida-e-cidadania/breves/reconhecimento-facial-de-passageiros-no-metro-de-sao-paulo-e-ilegal-decide-justica/
Mulheres negras em movimento,Comunica UFU,2,19 de nov. de 2025,http://comunica.ufu.br/noticias/2025/11/mulheres-negras-em-movimento
Metrô de SP terá sistema de reconhecimento facial,G1,2,17 de jul. de 2019,https://g1.globo.com/sp/sao-paulo/noticia/2019/07/17/metro-de-sp-tera-sistema-de-reconhecimento-facial.ghtml
Procurado por homicídio é preso após ser reconhecido por sistema de câmeras de PG,Prefeitura de Praia Grande,2,20 de mar. de 2025,https://www2.praiagrande.sp.gov.br/noticia/procurado-por-homicidio-e-preso-apos-ser-reconhecido-por-sistema-de-cameras-de-pg-
Ação questiona uso de reconhecimento facial no metrô de SP,Migalhas,2,3 de mar. de 2022,https://www.migalhas.com.br/quentes/360681/acao-questiona-uso-de-reconhecimento-facial-no-metro-de-sp
Condenado a 73 anos por 17 estupros é preso com ajuda de IA em São Paulo,Gazeta do Povo,3,13 de jan. de 2025,https://www.gazetadopovo.com.br/sao-paulo/condenado-estupros-preso-com-inteligencia-artificial-sao-paulo/
Estampa pode enganar sistemas de reconhecimento facial,Rádio Itatiaia,3,5 de out. de 2022,https://www.itatiaia.com.br/ciencia-e-tecnologia/2022/10/05/estampa-pode-enganar-sistemas-de-reconhecimento-facial
Site cria fotos de sósias para enganar reconhecimento facial,Olhar Digital,3,26 de nov. de 2020,https://olhardigital.com.br/2020/11/26/noticias/site-cria-fotos-de-seus-sosias-para-enganar-reconhecimento-facial/
"Com uso do reconhecimento facial, homem com mandado de prisão em aberto é preso durante Clássico-Rei",Sinal News,3,17 de mar. de 2025,https://sinalnews.com.br/com-uso-do-reconhecimento-facial-homem-com-mandado-de-prisao-em-aberto-e-preso-durante-classico-rei/
Ministério Público pede suspensão de biometria facial em escolas do Paraná e multa de R$ 15 milhões,Plural Curitiba,3,5 de mai. de 2025,https://www.plural.jor.br/ministerio-publico-pede-suspensao-de-biometria-facial-em-escolas-do-parana-e-multa-de-r-15-milhoes/
Reconhecimento facial em cassinos online: regra promete segurança e combate à fraude,O TABOANENSE,3,12 de fev. de 2025,https://www.otaboanense.com.br/reconhecimento-facial-em-cassinos-online-regra-promete-seguranca-e-combate-a-fraude/
Projeto condiciona uso de reconhecimento facial a inviabilidade de outros meios de identificação,Portal da Câmara dos Deputados,3,6 de out. de 2022,https://www.camara.leg.br/noticias/911976-PROJETO-CONDICIONA-USO-DE-RECONHECIMENTO-FACIAL-A-INVIABILIDADE-DE-OUTROS-MEIOS-DE-IDENTIFICACAO
"Foto de Michael B. Jordan, de 'Pantera Negra' e 'Creed', aparece em lista de procurados pela polícia do Ceará",O Globo,3,7 de jan. de 2022,https://oglobo.globo.com/cultura/foto-de-michael-jordan-de-pantera-negra-creed-aparece-em-lista-de-procurados-pela-policia-do-ceara-25345541
As vantagens e os perigos do reconhecimento facial,Meio e Mensagem,3,30 de jul. de 2019,https://www.meioemensagem.com.br/midia/reconhecimento-facial-quando-vale-dar-a-cara-a-tapa
PM passará a usar câmeras de reconhecimento facial no Réveillon em Copacabana,CNN Brasil,3,8 de dez. de 2023,https://www.cnnbrasil.com.br/nacional/pm-passara-a-usar-cameras-de-reconhecimento-facial-no-reveillon-em-copacabana/
Segurança - Reconhecimento facial,SíndicoNet,3,25 de jul. de 2025,https://www.sindiconet.com.br/informese/reconhecimento-facial-anpd-noticias-seguranca
Biometria e Reconhecimento Facial – ANPD lança publicação sobre o tema,Mayer Brown,3,8 de jul. de 2024,https://www.mayerbrown.com/pt/insights/publications/2024/07/biometrics-and-facial-recognition-anpd-releases-report
Concessionária do Metrô de SP é processada por painel que faz reconhecimento facial de passageiros,G1,3,31 de ago. de 2018,https://g1.globo.com/sp/sao-paulo/noticia/2018/08/31/concessionaria-do-metro-de-sp-e-processada-por-painel-que-faz-reconhecimento-facil-de-passageiros.ghtml
Reconhecimento facial se tornará exigência nas bets que operam no Brasil - IT Forum,IT Forum,3,22 de out. de 2024,https://itforum.com.br/noticias/reconhecimento-facial-exigencia-bets-brasileiras/
Desafios na utilização de sistemas de reconhecimento facial,Migalhas,3,16 de set. de 2022,https://www.migalhas.com.br/coluna/impressoes-digitais/373540/desafios-na-utilizacao-de-sistemas-de-reconhecimento-facial
Traficante foragido é preso após ser identificado por câmeras de reconhecimento facial no Centro de Maricá,Maricá Info,3,23 de jul. de 2025,https://maricainfo.com/2025/07/23/foragido-da-justica-e-no-centro-de-marica-apos-tentativa-de-fuga.html
Reconhecimento facial em tempo real ganha força pelo mundo,Canaltech,3,16 de mar. de 2020,https://canaltech.com.br/inteligencia-artificial/reconhecimento-facial-em-tempo-real-ganha-forca-pelo-mundo-161875/
Inteligência Artificial: o que é racismo algorítmico,Outras Palavras,3,14 de abr. de 2023,https://outraspalavras.net/outrasaude/para-entender-o-que-e-racismo-algoritmico/
Foragido da Justiça é preso por reconhecimento facial na Rodoviária de Campos,Campos 24Horas | Seu jornal na internet!,3,19 de out. de 2025,https://campos24horas.com.br/noticia/foragido-da-justica-e-preso-por-reconhecimento-facial-na-rodoviaria-de-campos
Tecnologias de reconhecimento facial e a Lei Geral de Proteção de Dados,Mattos Filho,3,23 de ago. de 2021,https://www.mattosfilho.com.br/unico/tecnologias-reconhecimento-facial-lei-lgpd/
Reconhecimento facial já prendeu 35 na Bahia; 3 mil são alvos da polícia,Jornal Correio,3,1 de jun. de 2019,https://www.correio24horas.com.br/salvador/reconhecimento-facial-ja-prendeu-35-na-bahia-3-mil-sao-alvos-da-policia-0619
Criminosos burlam reconhecimento facial de contas Gov.br; saiba como se proteger,IstoÉ,3,19 de mai. de 2025,https://istoe.com.br/criminosos-burlam-reconhecimento-facial-de-contas-gov-br-saiba-como-se-proteger
Foragido é preso em bar com ajuda de sistema de reconhecimento facial,TNH1,3,28 de out. de 2025,https://www.tnh1.com.br/videos/single-de-video/vid/foragido-e-preso-em-bar-com-ajuda-de-sistema-de-reconhecimento-facial/
Reconhecimento facial identifica foragido durante ExpoSete 2025 em Sete Lagoas,Sete Lagoas .com.br,3,19 de set. de 2025,https://setelagoas.com.br/noticias/policia/250653-reconhecimento-facial-identifica-foragido-durante-exposete-2025-em-sete-lagoas/
Idec notifica operadoras por uso obrigatório de biometria facial,TeleSíntese,3,28 de nov. de 2023,https://telesintese.com.br/idec-notifica-operadoras-por-uso-obrigatorio-de-biometria-facial/
"Controverso, reconhecimento facial chega a 22 estádios e será obrigatório",LANCE!,3,28 de ago. de 2024,https://www.lance.com.br/futebol-nacional/controverso-reconhecimento-facial-chega-a-22-estadios-e-sera-obrigatorio.html
Atlético: saiba como fazer o cadastro da biometria facial para a Arena MRV,Rádio Itatiaia,3,11 de jul. de 2025,https://www.itatiaia.com.br/esportes/futebol/futebol-nacional/futebol-mineiro/atletico/atletico-saiba-como-fazer-o-cadastro-da-biometria-facial-para-a-arena-mrv
"Reconhecimento facial é implantado na Arena Castelão, em Fortaleza",Agência Brasil,3,30 de mar. de 2025,https://agenciabrasil.ebc.com.br/radioagencia-nacional/esportes/audio/2025-03/reconhecimento-facial-e-implantado-na-arena-castelao-em-fortaleza
Passe Livre Estudantil: cadastramento da biometria facial pode ser feito pelo aplicativo Atlas Mob em Juiz de Fora,RCWTV,3,25 de ago. de 2025,https://www.rcwtv.com.br/noticia/passe-livre-estudantil-cadastramento-da-biometria-facial-pode-ser-feito-pelo-aplicativo-atlas-mob-em-juiz-de-fora
Reconhecimento facial passa a ser obrigatório em estádios com mais de 20 mil lugares; entenda,ge,3,15 de jun. de 2025,https://ge.globo.com/gato-mestre/noticia/2025/06/15/reconhecimento-facial-passa-a-ser-obrigatorio-em-estadios-com-mais-de-20-mil-lugares-entenda.ghtml
Sistema de Reconhecimento Facial da SSP ultrapassa a marca de 60 prisões em 2025,ba.gov.br,3,8 de jan. de 2025,http://www.ba.gov.br/ssp/2025/01/08/sistema-de-reconhecimento-facial-da-ssp-ultrapassa-a-marca-de-60-prisoes-em-2025
Artigo | Resultado da CPI do Reconhecimento Fotográfico na Alerj é insuficiente,Brasil de Fato,3,8 de mai. de 2024,https://www.brasildefato.com.br/2024/05/08/artigo-resultado-da-cpi-do-reconhecimento-fotografico-na-alerj-e-insuficiente/
"Inocentes reconhecidos por fotos na delegacia passam, em média, mais de um ano presos",O Globo,3,5 de mai. de 2022,https://oglobo.globo.com/rio/noticia/2022/05/inocentes-reconhecidos-por-fotos-na-delegacia-passam-em-media-mais-de-um-ano-presos.ghtml
"Tecnologia de reconhecimento facial é menos eficaz em negros, segundo estudo",Mundo Conectado,3,20 de dez. de 2019,https://www.mundoconectado.com.br/tecnologia/tecnologia-de-reconhecimento-facial-e-menos-eficaz-em-negros-segundo-estudo/
Inteligência Artificial: Quando Rostos Falsos Parecem Mais Reais que os Verdadeiros,MaisTecnologia,3,18 de nov. de 2023,https://www.maistecnologia.com/inteligencia-artificial-quando-rostos-falsos-parecem-mais-reais-que-os-verdadeiros/
SulAmérica Saúde disponibiliza aplicativo com biometria facial,revistaapolice.com.br,3,7 de mar. de 2019,https://revistaapolice.com.br/2019/03/sulamerica-saude-disponibiliza-aplicativo-com-biometria-facial/
Unicamp anuncia reconhecimento facial de cotistas e outras mudanças,Terra,3,1 de ago. de 2022,"https://www.terra.com.br/noticias/educacao/unicamp-anuncia-reconhecimento-facial-de-cotistas-e-outras-mudancas,8e2e7b7c67fa53f7b08f262df42fd418ch7xcnd6.html"
Especialistas da ONU advertem sobre viés racista em algoritmos,UOL Notícias,3,26 de nov. de 2020,https://noticias.uol.com.br/ultimas-noticias/rfi/2020/11/26/especialistas-da-onu-advertem-sobre-vies-racista-em-algoritmos.htm
Metrô de SP usa câmeras inteligentes e aqui está motivo de ser questionado,Idec - Instituto de Defesa de Consumidores,3,2 de jul. de 2021,https://idec.org.br/idec-na-imprensa/metro-de-sp-usa-cameras-inteligentes-e-aqui-esta-motivo-de-ser-questionado
"Câmeras inteligentes em São Paulo podem aumentar casos de preconceito, alertam especialistas",R7,3,15 de mai. de 2023,https://noticias.r7.com/sao-paulo/cameras-inteligentes-em-sao-paulo-podem-aumentar-casos-de-preconceito-alertam-especialistas-15052023/
Homicida é preso após alerta do Reconhecimento Facial da SSP | SECOM - Secretaria de Comunicação Social,ba.gov.br,3,16 de abr. de 2024,https://www.ba.gov.br/comunicacao/index.php/2024/04/noticias/homicida-e-preso-apos-alerta-do-reconhecimento-facial-da-ssp
Homem condenado por estupro de vulnerável é identificado e preso em Pacaraima,Folha BV,3,2 de set. de 2025,https://www.folhabv.com.br/geral/homem-condenado-por-estupro-de-vulneravel-e-identificado-e-preso-em-pacaraima/
Rodoviária do Rio terá câmeras de reconhecimento facial da PM,G1,4,24 de jun. de 2024,https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/06/24/rodoviaria-do-rio-cameras-de-reconhecimento-facial-da-pm.ghtml
A voz está prestes a virar o novo ‘reconhecimento facial’. Conheça a startup brasileira por trás,Exame,4,15 de nov. de 2024,https://exame.com/negocios/o-que-e-biometria-de-voz-minds-digital-br-angels/
